task_id,M0,rhoh0,FeH,rg,tend,seed,rantala_imbh_seed,extended_imf,galpy_potential,M_vir,c_halo
251,10000000.0,4168693.834703355,-1.7,26.25,3000,251,True,True,True,1000000000.0,17
252,10000000.0,4168693.834703355,-1.7,26.25,3000,252,True,True,True,1000000000.0,17
253,10000000.0,4168693.834703355,-1.7,26.25,3000,253,True,True,True,1000000000.0,17
254,10000000.0,4168693.834703355,-1.7,26.25,3000,254,True,True,True,1000000000.0,17
255,10000000.0,4168693.834703355,-1.7,26.25,3000,255,True,True,True,1000000000.0,17
256,10000000.0,4168693.834703355,-1.7,26.25,3000,256,True,True,True,1000000000.0,17
257,10000000.0,4168693.834703355,-1.7,26.25,3000,257,True,True,True,1000000000.0,17
258,10000000.0,4168693.834703355,-1.7,26.25,3000,258,True,True,True,1000000000.0,17
259,10000000.0,4168693.834703355,-1.7,26.25,3000,259,True,True,True,1000000000.0,17
260,10000000.0,4168693.834703355,-1.7,26.25,3000,260,True,True,True,1000000000.0,17
261,10000000.0,4168693.834703355,-1.7,26.25,3000,261,True,True,True,1000000000.0,17
262,10000000.0,4168693.834703355,-1.7,26.25,3000,262,True,True,True,1000000000.0,17
263,10000000.0,4168693.834703355,-1.7,26.25,3000,263,True,True,True,1000000000.0,17
264,10000000.0,4168693.834703355,-1.7,26.25,3000,264,True,True,True,1000000000.0,17
265,10000000.0,4168693.834703355,-1.7,26.25,3000,265,True,True,True,1000000000.0,17
266,10000000.0,4168693.834703355,-1.7,26.25,3000,266,True,True,True,1000000000.0,17
267,10000000.0,4168693.834703355,-1.7,26.25,3000,267,True,True,True,1000000000.0,17
268,10000000.0,4168693.834703355,-1.7,26.25,3000,268,True,True,True,1000000000.0,17
269,10000000.0,4168693.834703355,-1.7,26.25,3000,269,True,True,True,1000000000.0,17
270,10000000.0,4168693.834703355,-1.7,26.25,3000,270,True,True,True,1000000000.0,17
271,10000000.0,4168693.834703355,-1.7,26.25,3000,271,True,True,True,1000000000.0,17
272,10000000.0,4168693.834703355,-1.7,26.25,3000,272,True,True,True,1000000000.0,17
273,10000000.0,4168693.834703355,-1.7,26.25,3000,273,True,True,True,1000000000.0,17
274,10000000.0,4168693.834703355,-1.7,26.25,3000,274,True,True,True,1000000000.0,17
275,10000000.0,4168693.834703355,-1.7,26.25,3000,275,True,True,True,1000000000.0,17
276,10000000.0,4168693.834703355,-1.7,26.25,3000,276,True,True,True,1000000000.0,17
277,10000000.0,4168693.834703355,-1.7,26.25,3000,277,True,True,True,1000000000.0,17
278,10000000.0,4168693.834703355,-1.7,26.25,3000,278,True,True,True,1000000000.0,17
279,10000000.0,4168693.834703355,-1.7,26.25,3000,279,True,True,True,1000000000.0,17
280,10000000.0,4168693.834703355,-1.7,26.25,3000,280,True,True,True,1000000000.0,17
281,10000000.0,4168693.834703355,-1.7,26.25,3000,281,True,True,True,1000000000.0,17
282,10000000.0,4168693.834703355,-1.7,26.25,3000,282,True,True,True,1000000000.0,17
283,10000000.0,4168693.834703355,-1.7,26.25,3000,283,True,True,True,1000000000.0,17
284,10000000.0,4168693.834703355,-1.7,26.25,3000,284,True,True,True,1000000000.0,17
285,10000000.0,4168693.834703355,-1.7,26.25,3000,285,True,True,True,1000000000.0,17
286,10000000.0,4168693.834703355,-1.7,26.25,3000,286,True,True,True,1000000000.0,17
287,10000000.0,4168693.834703355,-1.7,26.25,3000,287,True,True,True,1000000000.0,17
288,10000000.0,4168693.834703355,-1.7,26.25,3000,288,True,True,True,1000000000.0,17
289,10000000.0,4168693.834703355,-1.7,26.25,3000,289,True,True,True,1000000000.0,17
290,10000000.0,4168693.834703355,-1.7,26.25,3000,290,True,True,True,1000000000.0,17
291,10000000.0,4168693.834703355,-1.7,26.25,3000,291,True,True,True,1000000000.0,17
292,10000000.0,4168693.834703355,-1.7,26.25,3000,292,True,True,True,1000000000.0,17
293,10000000.0,4168693.834703355,-1.7,26.25,3000,293,True,True,True,1000000000.0,17
294,10000000.0,4168693.834703355,-1.7,26.25,3000,294,True,True,True,1000000000.0,17
295,10000000.0,4168693.834703355,-1.7,26.25,3000,295,True,True,True,1000000000.0,17
296,10000000.0,4168693.834703355,-1.7,26.25,3000,296,True,True,True,1000000000.0,17
297,10000000.0,4168693.834703355,-1.7,26.25,3000,297,True,True,True,1000000000.0,17
298,10000000.0,4168693.834703355,-1.7,26.25,3000,298,True,True,True,1000000000.0,17
299,10000000.0,4168693.834703355,-1.7,26.25,3000,299,True,True,True,1000000000.0,17
300,10000000.0,4168693.834703355,-1.7,26.25,3000,300,True,True,True,1000000000.0,17
301,10000000.0,4168693.834703355,-1.7,26.25,3000,301,True,True,True,1000000000.0,17
302,10000000.0,4168693.834703355,-1.7,26.25,3000,302,True,True,True,1000000000.0,17
303,10000000.0,4168693.834703355,-1.7,26.25,3000,303,True,True,True,1000000000.0,17
304,10000000.0,4168693.834703355,-1.7,26.25,3000,304,True,True,True,1000000000.0,17
